delivery_id,order_id,delivery_city,delivery_region,delivery_status,shipping_company,shipped_date,delivered_date
57,57,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Jibli,14/11/2025,11/18/2025
58,58,Kénitra,Rabat Sale Kenitra,KO,Barid Logistics,2026-03-18,24/03/2026
59,59,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,23-07-2025,2025-07-24
60,60,rabat,Rabat-Salé-Kénitra,delivered,Jibli,25-01-2025,Jan 30 2025
61,61,Tanger,,delivered,Tanger Delivery,05/03/2026,13-03-2026
62,62,Rabat,Rabat-Salé-Kénitra,KO,AtlasShip,24-11-2025,26/11/2025
63,63,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,20/11/2025,Nov 27 2025
64,64,Tnja,Tanger-Tétouan-Al Hoceima,KO,Amana Express,04/05/2025,2025-05-12
65,65,Al Hoceïma,Tanger-Tétouan-Al Hoceima,delivered,Jibli,2025-08-10,Aug 13 2025
66,66,Tétouan,Tanger Tetouan,delivered,Amana Express,2026-04-12,17-04-2026
67,67,Agadir,Souss-Massa,delivered,Barid Logistics,2026-05-15,2026-05-16
68,68,Rabat,Rabat Sale Kenitra,delivered,Jibli,May 26 2025,03-06-2025
69,69,Agadir,Souss-Massa,delivered,AtlasShip,2025-06-08,10-06-2025
70,70,Kénitra,RSK,delivered,Jibli,2025-09-02,2025-09-07
71,71,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,31-10-2025,Nov 08 2025
72,72,,Tanger-Tétouan-Al Hoceïma,delivered,Jibli,04/01/2026,Apr 02 2026
73,73,rabat,Rabat-Salé-Kénitra,delivered,Tanger Delivery,10/09/2025,09/15/2025
74,74,Tanger,,KO,Amana Express,02/06/2026,Feb 14 2026
75,75,TETOUAN,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,08/24/2025,01/09/2025
76,76,Agadir,Souss-Massa,in_transit,Jibli,28/02/2026,01/03/2026
77,77,Agadir,Souss-Massa,delivered,AtlasShip,05/09/2026,May 12 2026
78,78,TNG,,failed,Barid Logistics,Sep 30 2025,
79,79,Casablanca,Casa Settat,delivered,AtlasShip,Oct 31 2025,11/03/2025
80,80,Casablanca,Casablanca-Settat,delivered,AtlasShip,08/02/2026,09-02-2026
81,81,Casablanca,Casablanca-Settat,delivered,Barid Logistics,2026-01-02,2026-01-06
82,82,Agadir,Souss-Massa,delivered,Jibli,2025-05-28,2025-05-30
83,83,Casablanca,Casablanca-Settat,delivered,Jibli,Mar 07 2025,Mar 08 2025
84,84,Tanger,TTA,in_transit,Tanger Delivery,15-01-2026,Jan 18 2026
85,85,Tanger,Tanger-Tétouan-Al Hoceïma,in_transit,Jibli,Aug 02 2025,08/08/2025
86,86,TETOUAN,Tanger-Tétouan-Al Hoceïma,failed,Barid Logistics,Feb 19 2025,02/24/2025
87,87,Casablanca,Casablanca-Settat,Livré,Amana Express,26/09/2025,Sep 30 2025
88,88,Agadir,Souss-Massa,delivered,Barid Logistics,05-04-2025,Apr 08 2025
89,89,Meknès,Fès-Meknès,delivered,Amana Express,01/17/2026,2026-01-21
90,90,Agadir,Souss-Massa,delivered,Jibli,03/18/2025,2025-03-24
91,91,Casablanca,Casablanca-Settat,delayed,Tanger Delivery,08/05/2025,08/07/2025
92,92,Al Hoceima,Tanger Tetouan,delayed,Jibli,2026-01-30,02/06/2026
93,93,Kénitra,Rabat-Salé-Kénitra,delivered,Barid Logistics,20-02-2026,02/25/2026
94,94,Agadir,Souss-Massa,delivered,Jibli,2026-02-13,15-02-2026
95,95,Agadir,Souss-Massa,delivered,Jibli,2025-11-04,Nov 09 2025
96,96,Tanger,Tanger-Tétouan-Al Hoceïma,in_transit,Barid Logistics,Jan 31 2025,2025-02-01
97,97,Tanger,TTA,delivered,Jibli,18-12-2025,20/12/2025
98,98,Tétouan,Tanger-Tétouan-Al Hoceïma,in_transit,Tanger Delivery,18-02-2026,02/22/2026
99,99,Tanger,TTA,delivered,Amana Express,09-06-2025,06/12/2025
100,100,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,08-04-2025,2025-04-14
101,101,Nador,Oriental,Livré,AtlasShip,09-04-2025,12/04/2025
102,102,RABAT,Rabat-Salé-Kénitra,delivered,Tanger Delivery,16-01-2025,2025-01-17
103,103,Fès,Fès-Meknès,delayed,Barid Logistics,Mar 15 2025,03/21/2025
104,104,Rabat,Rabat-Salé-Kénitra,delivered,AtlasShip,2026-04-05,Apr 10 2026
105,105,Al Hoceima,Tanger-Tétouan-Al Hoceïma,delayed,Tanger Delivery,21/03/2026,Mar 26 2026
106,106,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,delivered,Jibli,07/01/2025,Jan 09 2025
107,107,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,04/12/2025,08/12/2025
108,108,Oujda,Oriental,delivered,Barid Logistics,12/14/2025,2025-12-22
109,109,CAS,Casablanca-Settat,delivered,Jibli,14/10/2025,16-10-2025
110,110,Rabat,Rabat Sale Kenitra,delivered,AtlasShip,01/12/2025,2025-01-14
111,111,Kénitra,Rabat-Salé-Kénitra,in_transit,Tanger Delivery,08/03/2026,Mar 13 2026
112,112,Tanger,TTA,delayed,Amana Express,2026-03-25,02/04/2026
113,113,Rabat,Rabat-Salé-Kénitra,delivered,Tanger Delivery,2025-09-29,Oct 06 2025
114,114,casa,Casablanca-Settat,delivered,Barid Logistics,Mar 01 2026,09/03/2026
115,115,Rabat,Rabat-Salé-Kénitra,delivered,Jibli,Jan 10 2025,13-01-2025
116,116,Oujda,Oriental,delivered,AtlasShip,08/09/2025,Aug 13 2025
117,117,Marrakech,Marrakech-Safi,failed,AtlasShip,08/09/2025,
118,118,Nador,Oriental,delivered,AtlasShip,17-03-2025,Mar 22 2025
119,119,Tangier,Tanger-Tétouan-Al Hoceïma,failed,Amana Express,Jun 03 2025,
120,120,Al Hoceïma,Tanger-Tétouan-Al Hoceima,delivered,Tanger Delivery,2025-05-14,2025-05-21
121,121,Marrakech,Marrakech-Safi,delivered,Barid Logistics,17/12/2025,Dec 18 2025
122,122,Fès,Fès-Meknès,in_transit,Barid Logistics,Mar 03 2025,2025-03-06
123,123,Rabat,Rabat-Salé-Kénitra,delivered,AtlasShip,05-01-2025,01/06/2025
124,124,Casablanca,Casablanca-Settat,delivered,Barid Logistics,14-12-2025,12/15/2025
125,125,Oujda,Oriental,delivered,AtlasShip,28-02-2025,Mar 06 2025
126,126,Tétouan,TTA,in_transit,Tanger Delivery,09/12/2025,20-09-2025
127,127,Fès,Fès-Meknès,delivered,Barid Logistics,08/05/2026,May 09 2026
128,128,rabat,Rabat-Salé-Kénitra,DELIVERED,Barid Logistics,Oct 20 2025,24/10/2025
129,129,Rabat,Rabat-Salé-Kénitra,KO,Jibli,Apr 17 2026,18/04/2026
130,130,Rabat,Rabat-Salé-Kénitra,livré,Amana Express,16/08/2025,2025-08-24
131,131,Casablanca,Casa Settat,delivered,Amana Express,12/16/2025,18/12/2025
132,132,Tetouan,Tanger Tetouan,delivered,Jibli,26/04/2025,04/29/2025
133,133,Agadir,Souss-Massa,KO,Tanger Delivery,May 13 2026,20/05/2026
134,134,,Oriental,failed,Tanger Delivery,2025-03-29,
135,135,casa,Casablanca-Settat,delivered,Tanger Delivery,2025-05-13,18-05-2025
136,136,Casablanca,Casablanca-Settat,delivered,Barid Logistics,24-11-2025,Nov 27 2025
137,137,TNG,Tanger-Tétouan-Al Hoceïma,failed,AtlasShip,Jan 25 2025,
138,138,,Rabat-Salé-Kénitra,delivered,Barid Logistics,2025-09-25,10/03/2025
139,139,Rabat,Rabat-Salé-Kénitra,delivered,Amana Express,2025-05-02,May 09 2025
140,140,Oujda,Oriental,delivered,Tanger Delivery,23-01-2026,01/29/2026
141,141,casa,Casablanca-Settat,delivered,Tanger Delivery,03-02-2025,2025-02-06
142,142,Rabat,Rabat-Salé-Kénitra,in_transit,Jibli,2025-07-23,25/07/2025
143,143,tanger,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,2026-03-18,19/03/2026
144,144,Tanger,Tanger-Tétouan-Al Hoceima,delivered,Barid Logistics,03/18/2026,03/24/2026
145,145,Casablanca,Casablanca-Settat,delivered,Amana Express,01/14/2026,20/01/2026
146,146,Marrakech,Marrakech-Safi,delivered,Tanger Delivery,01/10/2025,2025-01-18
147,147,casa,CASA-SETTAT,delivered,AtlasShip,Feb 10 2026,16-02-2026
148,148,CAS,Casablanca-Settat,delivered,Jibli,2025-02-05,02/08/2025
149,149,Fès,Fès-Meknès,KO,Jibli,03-12-2025,12/11/2025
150,150,Agadir,Souss-Massa,livré,AtlasShip,23-03-2026,2026-03-30
151,151,Oujda,Oriental,delivered,AtlasShip,16/02/2025,2025-02-17
152,152,TNG,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,08/10/2025,2025-10-15
153,153,Fès,Fès-Meknès,failed,Jibli,06/05/2026,
154,154,TANGER,Tanger-Tétouan-Al Hoceïma,KO,Barid Logistics,Jan 24 2026,2026-01-25
155,155,AL HOCEIMA,Tanger-Tétouan-Al Hoceïma,delayed,Amana Express,May 20 2026,2026-05-22
156,156,,Casablanca-Settat,delivered,Amana Express,2025-12-27,03/01/2026
157,157,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,2026-04-17,04/25/2026
158,158,Fès,Fès-Meknès,DELIVERED,Amana Express,03-02-2025,2025-02-06
159,159,Tangier,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,Jan 30 2025,2025-02-05
160,160,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,DELIVERED,Jibli,09/04/2026,04/13/2026
161,161,Rabat,RSK,delivered,Barid Logistics,2025-11-13,16/11/2025
162,162,Casablanca,Casa Settat,delayed,AtlasShip,05-11-2025,08/11/2025
163,163,Nador,Oriental,delivered,Barid Logistics,24-04-2025,2025-05-01
164,164,Fès,Fès-Meknès,DELIVERED,Barid Logistics,29/03/2026,06-04-2026
165,165,Tanger,Tanger-Tétouan-Al Hoceïma,delayed,Barid Logistics,01/12/2025,2025-12-08
166,166,CAS,Casablanca-Settat,delivered,Jibli,08/18/2025,2025-08-22
167,167,Agadir,Souss-Massa,delivered,Barid Logistics,31/03/2026,03-04-2026
168,168,Casablanca,Casa Settat,delayed,AtlasShip,30/01/2026,Feb 02 2026
169,169,Casablanca,Casablanca-Settat,delivered,Jibli,Mar 27 2025,04/03/2025
170,170,Marrakech,Marrakech-Safi,delayed,Tanger Delivery,Nov 15 2025,11/16/2025
171,171,Casablanca,Casablanca-Settat,delivered,AtlasShip,01-11-2025,11/03/2025
172,172,Tanger,Tanger-Tétouan-Al Hoceima,delayed,Tanger Delivery,01/06/2025,01/14/2025
173,173,RABAT,RSK,delivered,Jibli,09/11/2025,Nov 11 2025
174,174,Oujda,Oriental,delayed,Barid Logistics,2026-03-07,13/03/2026
175,175,CASABLANCA,Casablanca-Settat,delivered,Jibli,29/10/2025,03/11/2025
176,176,Agadir,Souss-Massa,delivered,Jibli,2025-12-17,Dec 25 2025
177,177,Marrakech,Marrakech-Safi,delivered,Barid Logistics,2025-09-11,13/09/2025
178,178,Meknès,Fès-Meknès,delivered,Amana Express,2025-03-16,24-03-2025
179,179,Tetouan,,delivered,Jibli,24-04-2026,Apr 27 2026
180,180,TNG,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,04/25/2026,2026-05-02
181,181,Fès,Fès-Meknès,delivered,Tanger Delivery,11/07/2025,18-07-2025
182,182,Agadir,Souss-Massa,delivered,Jibli,18-04-2025,2025-04-26
183,183,Meknès,Fès-Meknès,delivered,Tanger Delivery,Mar 30 2026,06-04-2026
184,184,Marrakech,Marrakech-Safi,delivered,Barid Logistics,2025-10-04,08-10-2025
185,185,Oujda,Oriental,delivered,AtlasShip,02-05-2026,08/05/2026
186,186,Oujda,Oriental,delivered,AtlasShip,May 19 2025,15/05/2025
187,187,Marrakech,Marrakech-Safi,Livré,Jibli,19/12/2025,12/26/2025
188,188,Rabat,Rabat Sale Kenitra,delivered,AtlasShip,Mar 13 2025,03/21/2025
189,189,Tétouan,Tanger-Tétouan-Al Hoceïma,DELIVERED,Jibli,2026-03-29,2026-04-05
190,190,Marrakech,Marrakech-Safi,delayed,Tanger Delivery,2025-11-17,23-11-2025
191,191,Fès,Fès-Meknès,in_transit,Amana Express,2025-06-10,Jun 14 2025
192,192,,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,2025-11-26,Nov 28 2025
193,193,AL HOCEIMA,Tanger-Tétouan-Al Hoceïma,KO,Barid Logistics,22/08/2025,27-08-2025
194,194,Marrakech,,delivered,Tanger Delivery,25-08-2025,29-08-2025
195,195,Fès,Fès-Meknès,delivered,Amana Express,2025-12-15,18-12-2025
196,196,TNG,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,08/02/2025,Aug 10 2025
197,197,Marrakech,,delayed,Jibli,05/01/2025,07/05/2025
198,198,Marrakech,Marrakech-Safi,delivered,AtlasShip,08-01-2025,Jan 13 2025
199,199,Agadir,Souss-Massa,delivered,Barid Logistics,27-10-2025,11/04/2025
200,200,AL HOCEIMA,Tanger-Tétouan-Al Hoceima,delivered,Tanger Delivery,06/08/2025,Jun 16 2025
201,201,Tanger,Tanger-Tétouan-Al Hoceïma,KO,Jibli,25-02-2025,02/26/2025
202,202,Casablanca,Casablanca-Settat,delivered,Amana Express,24-10-2025,29/10/2025
203,203,Rabat,Rabat Sale Kenitra,delivered,Amana Express,05-12-2025,2025-12-13
204,204,Casablanca,CASA-SETTAT,delivered,Amana Express,27-04-2026,05/05/2026
205,205,Tanger,Tanger-Tétouan-Al Hoceïma,KO,Barid Logistics,Feb 20 2025,24-02-2025
206,206,Kénitra,Rabat-Salé-Kénitra,failed,AtlasShip,2026-05-09,
207,207,Marrakech,,delivered,Barid Logistics,07-06-2025,11-06-2025
208,208,Casablanca,Casablanca-Settat,delivered,Tanger Delivery,2026-03-03,Mar 11 2026
209,209,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,03/18/2025,03/24/2025
210,210,Agadir,Souss-Massa,delayed,AtlasShip,2025-03-29,04/02/2025
211,211,Meknès,Fès-Meknès,delivered,AtlasShip,05/20/2025,05/27/2025
212,212,Rabat,Rabat-Salé-Kénitra,delayed,Barid Logistics,24/04/2026,25-04-2026
213,213,,Casa Settat,delivered,AtlasShip,Apr 28 2025,03-05-2025
214,214,Marrakech,Marrakech-Safi,delivered,AtlasShip,14/04/2026,21/04/2026
215,215,Tnja,Tanger-Tétouan-Al Hoceïma,delivered,Jibli,07-01-2025,Jan 12 2025
216,216,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,Livré,Amana Express,Jan 25 2025,30-01-2025
217,217,Fès,Fès-Meknès,delivered,Amana Express,2026-04-04,04/05/2026
218,218,Tétouan,Tanger-Tétouan-Al Hoceïma,Livré,Jibli,02/26/2025,2025-02-27
219,219,Agadir,Souss-Massa,delivered,Amana Express,25-01-2026,02/02/2026
220,220,Tétouan,Tanger-Tétouan-Al Hoceïma,failed,AtlasShip,Jul 15 2025,2025-07-17
221,221,Kénitra,Rabat-Salé-Kénitra,livré,AtlasShip,06/09/2025,2025-09-13
222,222,Rabat,Rabat-Salé-Kénitra,livré,Barid Logistics,21/04/2025,Apr 24 2025
223,223,Rabat,Rabat-Salé-Kénitra,livré,Tanger Delivery,Jan 23 2025,01/26/2025
224,224,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,Mar 12 2025,2025-03-14
225,225,Agadir,Souss-Massa,delivered,AtlasShip,05/20/2026,May 22 2026
226,226,Casablanca,Casablanca-Settat,delivered,Barid Logistics,2026-03-11,17-03-2026
227,227,Rabat,Rabat-Salé-Kénitra,delivered,Jibli,10/13/2025,15/10/2025
228,228,Tanger,Tanger-Tétouan-Al Hoceïma,failed,Jibli,03/30/2026,
229,229,Casablanca,Casablanca-Settat,delivered,Barid Logistics,May 05 2026,2026-05-06
230,230,Casablanca,Casablanca-Settat,DELIVERED,AtlasShip,06/25/2025,Jun 27 2025
231,231,,Fès-Meknès,delivered,AtlasShip,Sep 10 2025,2025-09-11
232,232,Al Hoceïma,,delivered,Tanger Delivery,01/04/2026,Apr 08 2026
233,233,Rabat,Rabat-Salé-Kénitra,delayed,AtlasShip,Feb 24 2026,Mar 01 2026
234,234,Tanger,Tanger Tetouan,delivered,Jibli,2025-06-19,Jun 20 2025
235,235,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,Dec 03 2025,2025-12-08
236,236,Rabat,Rabat-Salé-Kénitra,failed,Amana Express,Mar 18 2026,
237,237,Oujda,Oriental,DELIVERED,Barid Logistics,2025-01-14,19-01-2025
238,238,Agadir,Souss-Massa,delivered,AtlasShip,2025-09-08,13-09-2025
239,239,Agadir,Souss-Massa,delivered,Barid Logistics,07/01/2025,10/01/2025
240,240,Casablanca,Casa Settat,delivered,Jibli,28-01-2025,31-01-2025
241,241,Marrakech,Marrakech-Safi,delivered,Tanger Delivery,03/10/2026,06/03/2026
242,242,Casablanca,Casablanca-Settat,delivered,Barid Logistics,2025-08-27,Sep 01 2025
243,243,Marrakech,Marrakech-Safi,failed,Amana Express,04/28/2026,2026-05-02
244,244,Casablanca,Casa Settat,KO,Amana Express,10-11-2025,Nov 12 2025
245,245,Tétouan,Tanger-Tétouan-Al Hoceima,delivered,Barid Logistics,Aug 05 2025,08/08/2025
246,246,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,2025-01-04,2025-01-07
247,247,Nador,Oriental,delivered,Amana Express,06/26/2025,02/07/2025
248,248,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,04-01-2026,01/09/2026
249,249,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,04/09/2025,11/04/2025
250,250,Agadir,,delivered,AtlasShip,05/20/2026,2026-05-26
251,251,Fès,Fès-Meknès,delivered,AtlasShip,2025-09-09,14-09-2025
252,252,Rabat,Rabat-Salé-Kénitra,in_transit,Tanger Delivery,05/12/2025,14/05/2025
253,253,Rabat,Rabat Sale Kenitra,delivered,Jibli,2025-03-05,06-03-2025
254,254,Rabat,Rabat-Salé-Kénitra,in_transit,Jibli,06-01-2026,11/01/2026
255,255,Rabat,Rabat-Salé-Kénitra,delivered,Barid Logistics,25/01/2026,27/01/2026
256,256,Rabat,,DELIVERED,Jibli,01/10/2026,17/01/2026
257,257,,Rabat-Salé-Kénitra,delivered,Barid Logistics,27/03/2025,2025-04-04
258,258,Casablanca,Casablanca-Settat,delivered,Jibli,18/02/2026,25/02/2026
259,259,Fès,Fès-Meknès,delivered,Tanger Delivery,21/05/2026,May 29 2026
260,260,Tanger,Tanger-Tétouan-Al Hoceïma,in_transit,Tanger Delivery,2025-10-10,2025-10-15
261,261,TANGER,Tanger Tetouan,delivered,Barid Logistics,25-09-2025,Sep 30 2025
262,262,,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,01/01/2026,01/02/2026
263,263,Fès,Fes Meknes,failed,Barid Logistics,Mar 29 2026,01/04/2026
264,264,Rabat,Rabat-Salé-Kénitra,KO,Tanger Delivery,07-02-2025,02/09/2025
265,265,Tétouan,Tanger-Tétouan-Al Hoceïma,failed,Amana Express,Mar 08 2025,
266,266,Tétouan,TTA,failed,Tanger Delivery,29-01-2025,2025-02-05
267,267,Tangier,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,Jun 16 2025,Jun 22 2025
268,268,Marrakech,Marrakech-Safi,failed,Barid Logistics,2025-07-06,
269,269,Nador,Oriental,delivered,AtlasShip,Aug 20 2025,08/21/2025
270,270,Agadir,Souss-Massa,failed,Jibli,07/11/2025,
271,271,Marrakech,Marrakech-Safi,delivered,Jibli,13-02-2025,Feb 20 2025
272,272,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Jibli,Jan 20 2025,23/01/2025
273,273,Agadir,Souss-Massa,delayed,Jibli,May 11 2025,May 12 2025
274,274,Oujda,,delivered,Amana Express,Jan 23 2026,01/28/2026
275,275,Agadir,,KO,Barid Logistics,2025-09-09,2025-09-12
276,276,Nador,Oriental,delivered,Barid Logistics,2025-08-29,05-09-2025
277,277,Kénitra,Rabat-Salé-Kénitra,delivered,AtlasShip,04/27/2025,30/04/2025
278,278,Meknès,Fès-Meknès,failed,Barid Logistics,2025-02-18,Feb 20 2025
279,279,Marrakech,Marrakech-Safi,failed,Tanger Delivery,2025-12-11,
280,280,TANGER,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,06/11/2025,Jun 13 2025
281,281,Casablanca,Casablanca-Settat,delivered,Tanger Delivery,Mar 22 2025,03/30/2025
282,282,Casablanca,Casablanca-Settat,delivered,AtlasShip,10-01-2026,17-01-2026
283,283,Oujda,Oriental,DELIVERED,Barid Logistics,2025-10-18,Oct 24 2025
284,284,Agadir,Souss-Massa,delivered,Jibli,Nov 24 2025,02-12-2025
285,285,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,Sep 22 2025,24-09-2025
286,286,Tetouan,Tanger-Tétouan-Al Hoceïma,failed,Amana Express,2025-09-07,Sep 14 2025
287,287,Agadir,Souss-Massa,in_transit,Jibli,22-04-2025,23/04/2025
288,288,TNG,Tanger-Tétouan-Al Hoceïma,DELIVERED,Barid Logistics,27-12-2025,28/12/2025
289,289,TETOUAN,Tanger-Tétouan-Al Hoceima,delayed,Tanger Delivery,Oct 31 2025,2025-11-02
290,290,Meknès,Fès-Meknès,delivered,AtlasShip,12/15/2025,12/22/2025
291,291,Tetouan,Tanger Tetouan,Livré,Barid Logistics,02/17/2026,23/02/2026
292,292,Fès,Fès-Meknès,delivered,Barid Logistics,2025-05-23,30/05/2025
293,293,,Souss-Massa,delivered,Tanger Delivery,03/10/2025,2025-03-14
294,294,Casablanca,Casablanca-Settat,delayed,Barid Logistics,Mar 13 2025,2025-03-16
295,295,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,06/20/2025,06/28/2025
296,296,casa,Casa Settat,failed,AtlasShip,2025-06-24,
297,297,Oujda,Oriental,delivered,Barid Logistics,2026-01-13,21/01/2026
298,298,Meknès,Fès-Meknès,failed,Tanger Delivery,03-06-2025,
